FIRMWARE REVISION HISTORY,ZW4005 / 14291,Enbrighten-GE,"In-Wall Smart Paddle Switch, 500S"
Manufacturer ID,0x0063,,
Product Type ID,0x4952,,
Product ID,0x3036,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.2,6.51.06,1. Original Release Firmware,1651
,,OTA file will not be released for this version due to lack of support for Adesto flash in newer hardware,
5.22,6.51.10,1. Fixed AGI issue,1729
,,2. Updated the Devkit from 6.51.06 to 6.51.10,
5.24,6.51.10,1. Added parameter 19 for alternate exclusion,1831
