FIRMWARE REVISION HISTORY,ZW4106 / 14282,Enbrighten-GE,"Plug-in 2-Outlet Smart Switch, Simultaneous, 500S"
Manufacturer ID,0x0063,,
Product Type ID,0x5052,,
Product ID,0x3033,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.07,6.51.06,1. Original Release Firmware,1544
,,OTA file will not be released for this version due to lack of support for Adesto flash in newer hardware,
5.21,6.51.06,1. Removed S-0,1651
,,2. Added AGI command class,
,,3. Fixed an issue where node info was automatically sent in NWI mode,
,,"4. Fixed the reset and exclusion failure for the host device if associated with G1, G2 and G3",
,,OTA file will not be released for this version due to lack of support for Adesto flash in newer hardware,
5.22,6.51.10,1. Updated the devkit from 6.51.06 to 6.51.10,1715
