FIRMWARE REVISION HISTORY,ZW4002 / 14314,Jasco,"In-Wall Smart Fan Speed Control, 500S"
Manufacturer ID,0x0063,,
Product Type ID,0x4944,,
Product ID,0x3138,,
VERSION,Z-Wave Devkit,Changes,Date Code
5.21,6.51.06,1. Original Release Firmware,1719
,,OTA file will not be released for this version due to lack of support for Adesto flash in newer hardware,
5.22,6.51.10,1. Updated the Devkit from 6.51.06 to 6.51.10,1749
5.24,6.51.10,1. Corrected ID information for 39358,2027
,,2. Added parameter 3,
,,3. Added parameter 19 for alternate exclusion,
